"Day","Hour","Temp","KWH_Class"
"06/20/2016",12,76,"Above_Normal"
"06/20/2016",13,76,"Above_Normal"
"06/20/2016",14,77,"Above_Normal"
"06/20/2016",15,77,"Above_Normal"
"06/20/2016",16,76,"Above_Normal"
"06/20/2016",17,75,"Optimal"
"06/20/2016",18,75,"Optimal"
"06/20/2016",19,74,"Optimal"
"06/20/2016",20,73,"Optimal"
"06/20/2016",21,71,"Optimal"
"06/20/2016",22,71,"Optimal"
"06/20/2016",23,70,"Optimal"
"06/21/2016",0,69,"Optimal"
"06/21/2016",1,68,"Optimal"
"06/21/2016",2,68,"Optimal"
"06/21/2016",3,66,"Optimal"
"06/21/2016",4,66,"Optimal"
"06/21/2016",5,66,"Optimal"
"06/21/2016",6,67,"Optimal"
"06/21/2016",7,69,"Optimal"
"06/21/2016",8,72,"Above_Normal"
"06/21/2016",9,74,"Above_Normal"
"06/21/2016",10,77,"Above_Normal"
"06/21/2016",11,80,"Above_Normal"
"06/21/2016",12,82,"Above_Normal"
"06/21/2016",13,83,"Above_Normal"
"06/21/2016",14,83,"Above_Normal"
"06/21/2016",15,83,"Above_Normal"
"06/21/2016",16,81,"Above_Normal"
"06/21/2016",17,80,"Above_Normal"
"06/21/2016",18,79,"Optimal"
"06/21/2016",19,78,"Optimal"
"06/21/2016",20,76,"Optimal"
"06/21/2016",21,75,"Optimal"
"06/21/2016",22,73,"Optimal"
"06/21/2016",23,71,"Optimal"
"06/22/2016",0,71,"Optimal"
"06/22/2016",1,69,"Optimal"
"06/22/2016",2,68,"Optimal"
"06/22/2016",3,67,"Optimal"
"06/22/2016",4,67,"Optimal"
"06/22/2016",5,67,"Optimal"
"06/22/2016",6,67,"Optimal"
"06/22/2016",7,69,"Above_Normal"
"06/22/2016",8,72,"Above_Normal"
"06/22/2016",9,74,"Above_Normal"
"06/22/2016",10,76,"Above_Normal"
"06/22/2016",11,78,"Above_Normal"
"06/22/2016",12,79,"Above_Normal"
"06/22/2016",13,80,"Above_Normal"
"06/22/2016",14,81,"Above_Normal"
"06/22/2016",15,80,"Above_Normal"
"06/22/2016",16,79,"Above_Normal"
"06/22/2016",17,78,"Above_Normal"
"06/22/2016",18,76,"Above_Normal"
"06/22/2016",19,75,"Optimal"
"06/22/2016",20,74,"Optimal"
"06/22/2016",21,72,"Optimal"
"06/22/2016",22,70,"Optimal"
"06/22/2016",23,69,"Optimal"
